"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-1295";"HORNET";"GLASFLÜGEL SEGELFLUGZEUGBAU HOLIGHAUS & HILLENBRAND GMBH"
"HB-1296";"HORNET";"GLASFLÜGEL SEGELFLUGZEUGBAU HOLIGHAUS & HILLENBRAND GMBH"
"HB-1314";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1318";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1320";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1321";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1337";"ASTIR CS";"BURKHARD GROB FLUGZEUGBAU"
"HB-1340";"DELPHIN";"HOMEBUILT (CH)"
"HB-1341";"ASTIR CS";"BURKHARD GROB FLUGZEUGBAU"
"HB-1346";"DG-100";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-1351";"ASTIR CS";"BURKHARD GROB FLUGZEUGBAU"
"HB-1353";"LS 3";"ROLLADEN-SCHNEIDER OHG"
"HB-138";"SG 38";"AMATEURBAU"
"HB-1388";"SZD-41A";"PZL-BIELSKO"
"HB-1395";"MINI-NIMBUS HS 7";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-1410";"DG-200";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-1413";"MINI-NIMBUS HS 7";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-1414";"MINI-NIMBUS HS 7";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-1419";"MOSQUITO";"GLASFLÜGEL SEGELFLUGZEUGBAU HOLIGHAUS & HILLENBRAND GMBH"
"HB-1422";"ASW 19";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1425";"MINI-NIMBUS C";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-1439";"DG-100";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-1444";"DG-200";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-1449";"ASW 20";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1463";"LS 3-a";"ROLLADEN-SCHNEIDER OHG"
"HB-1464";"DG-100 G ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1475";"LS 3-a";"ROLLADEN-SCHNEIDER OHG"
"HB-1478";"ASW 19 B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1479";"ASK 18 B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1480";"NIMBUS-2C";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-1486";"CLUB LIBELLE 205";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1490";"MINI-NIMBUS C";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-1491";"ASTIR CS 77";"BURKHARD GROB FLUGZEUGBAU"
"HB-1505";"B4-PC 11AF";"PILATUS FLUGZEUGWERKE AG"
"HB-1515";"DG-100 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1519";"ASW 20";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1537";"ASW 19 B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1546";"NIMBUS-2C";"SCHEMPP-HIRTH GMBH & CO KG"
"HB-1551";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1552";"DELPHIN";"HOMEBUILT (CH)"
"HB-1554";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1561";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1563";"GROB G 103";"GROB TFE"
"HB-1564";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1567";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1568";"JANUS C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1570";"VENTUS A/16.6";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1574";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1575";"DG-100 G ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1589";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1590";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1591";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1595";"LS 4-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1599";"VENTUS B/16.6";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1601";"ASW 20";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1606";"GLASFLÜGEL 304 B";"AVIONA I JEDRILICA 'JASTREB'"
"HB-1607";"GLASFLÜGEL 304";"GLASFLÜGEL DEUTSCH-BRASILIANISCHE FLUGZEUG- UND FAHRZEUGBAU GMBH"
"HB-1610";"GLASFLÜGEL 304";"GLASFLÜGEL DEUTSCH-BRASILIANISCHE FLUGZEUG- UND FAHRZEUGBAU GMBH"
"HB-1615";"LS 1-f";"ROLLADEN-SCHNEIDER OHG"
"HB-1622";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1623";"ASW 20 L";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1629";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1630";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1632";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1636";"DG-200";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-1639";"DG-200/17";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-1641";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1643";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1649";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1654";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1655";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1660";"ASW 20 L";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1661";"NIMBUS-3/24.5";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1662";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1665";"101 AP";"SA CENTRAIR"
"HB-1666";"101 A";"SA CENTRAIR"
"HB-1669";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1670";"VENTUS B/16.6";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1673";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1680";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1684";"VENTUS B/16.6";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1685";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1686";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1688";"101 A";"SA CENTRAIR"
"HB-1690";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1697";"GROB G 103 A";"GROB TFE"
"HB-1699";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1701";"ASW 22";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1708";"ASK 21";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1714";"ASW 19 B";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-1715";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1716";"NIMBUS-3/24.5";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1723";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1729";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1732";"DG-300 ELAN";"AMS-FLIGHT D.O.O."
"HB-1736";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1741";"VENTUS B/16.6";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1745";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1747";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1751";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1752";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1753";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1755";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1756";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1758";"ASW 20 CL";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1759";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1764";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1765";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1766";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1768";"ELFE S4A";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-1774";"NIMBUS-3/24.5";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1775";"ASW 19 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1777";"101 A";"SA CENTRAIR"
"HB-1778";"GROB G 103 A";"GROB TFE"
"HB-1779";"ASK 23";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1784";"ASW 20 CL";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1786";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1787";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1792";"LS 6";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1794";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1796";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1798";"ASW 20 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1799";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1800";"DG-300 ELAN";"AMS-FLIGHT D.O.O."
"HB-1802";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1806";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1810";"VENTUS B/16.6";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1811";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1812";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1819";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1822";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1824";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1825";"ASW 20 CL";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1826";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1827";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1828";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-183";"GRUNAU BABY II";"EDMUND SCHNEIDER, FLUGZEUGBAU"
"HB-1830";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1834";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1835";"LS 4-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1839";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1840";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1841";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1843";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1845";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1846";"H 101";"START + FLUG GMBH"
"HB-1849";"KESTREL";"GLASFLÜGEL ING EUGEN HÄNLE"
"HB-1854";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1856";"ASW 19 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1857";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1862";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1865";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1866";"LS 3-a";"ROLLADEN-SCHNEIDER OHG"
"HB-1870";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1871";"ASW 20 CL";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1872";"DG-300 ELAN";"AMS-FLIGHT D.O.O."
"HB-1873";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1875";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1877";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1879";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1885";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1890";"ASK 23 B";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1896";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1898";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-190";"RRG ZÖGLING";"HOMEBUILT (CH)"
"HB-1900";"LS 6";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1909";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1910";"LS 4";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1913";"101 D";"SA CENTRAIR"
"HB-1929";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1933";"DG-300 ELAN";"ELAN LINE D.O.O."
"HB-1934";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1940";"ASH 25";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1941";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1942";"LS 6-b";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1943";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1945";"VENTUS C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1948";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1952";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1953";"NIMBUS-3D";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1956";"101 B";"SA CENTRAIR"
"HB-1959";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1961";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1962";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1963";"VENTUS C";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1965";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1966";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1970";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1972";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1981";"LS 7-WL";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1982";"ASK 21";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-1983";"DG-300 ELAN";"ELAN TOVARNA SPORTNEGA ORODJA "
"HB-1988";"LS 7-WL";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1990";"DISCUS B";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-1993";"LS 7-WL";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-1995";"LS 6-a";"ROLLADEN-SCHNEIDER FLUGZEUGBAU GMBH"
"HB-2005";"RF 3";"SOCIÉTÉ ALPAVIA"
"HB-2010";"SF 25 B";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2025";"DG-800 A";"DG FLUGZEUGBAU GMBH"
"HB-2030";"ASK 16";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-2033";"ASK 16";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-2040";"SZD-45A";"PZL-BIELSKO"
"HB-2042";"SF 28 A";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2045";"SF 25 E";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2053";"PIK-20 E";"EIRI, EINO RIIHELÄ KY"
"HB-2061";"PIK 20 E II F";"SIREN S.A."
"HB-2068";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2070";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2073";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2077";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2083";"G 109 B";"BURKHART GROB LUFT- UND RAUMFAHRT GMBH & CO. KG"
"HB-2084";"G 109 B";"BURKHART GROB LUFT- UND RAUMFAHRT GMBH & CO. KG"
"HB-2087";"G 109 B";"BURKHART GROB LUFT- UND RAUMFAHRT GMBH & CO. KG"
"HB-2088";"G 109 B";"BURKHART GROB LUFT- UND RAUMFAHRT GMBH & CO. KG"
"HB-2089";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2094";"TAIFUN 17 E";"VALENTIN FLUGZEUGBAU GMBH"
"HB-2097";"G 109 B";"BURKHART GROB LUFT- UND RAUMFAHRT GMBH & CO. KG"
"HB-2100";"VENTUS bT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2101";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2114";"VENTUS bT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2116";"VENTUS cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2119";"H 36";"HOFFMANN AIRCRAFT GESMBH"
"HB-2120";"VENTUS cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2130";"PICCOLO";"TECHNOFLUG LEICHTFLUGZEUGBAU GMBH"
"HB-2132";"ASH 25 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2136";"ASW 20 L TOP";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-2138";"ASW 20 TOP";"ALEXANDER SCHLEICHER OHG SEGELFLUGZEUGBAU"
"HB-2146";"ELFE S4A TOP";"SEGELFLUGZEUGBAU A. NEUKOM"
"HB-2160";"NIMBUS-3DT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2161";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2167";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2169";"VENTUS bT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2172";"ASH 25 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2173";"VENTUS cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2176";"DG-400";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2181";"ASW 24 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2182";"ASW 24 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2193";"DISCUS bT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2194";"DISCUS bT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2199";"S10-V";"STEMME GMBH & CO. KG"
"HB-2201";"DG-500 M";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2203";"DG-600 M";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2204";"DG-600/18 M";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2205";"HK 36 R";"HOAC-AUSTRIA"
"HB-2206";"VENTUS cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2207";"DISCUS bT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2223";"VENTUS cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2224";"G 103 C";"GROB LUFT- UND RAUMFAHRT"
"HB-2225";"PICCOLO B";"TECHNOFLUG LEICHTFLUGZEUGBAU GMBH"
"HB-2233";"VENTUS cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2236";"DG-500 M";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2241";"S10-V";"STEMME GMBH & CO KG"
"HB-2245";"VENTUS cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2249";"DG-500 M";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-225";"S 19";"AMATEURBAU"
"HB-2251";"VENTUS cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2254";"NIMBUS-4M";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2258";"VENTUS cM";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2260";"PICCOLO B";"TECHNOFLUG LEICHTFLUGZEUGBAU GMBH"
"HB-2261";"SF 25 C";"SCHEIBE FLUGZEUGBAU GMBH"
"HB-2263";"VENTUS-2cT";"SCHEMPP-HIRTH FLUGZEUGBAU GMBH"
"HB-2264";"DG-500 M";"GLASER-DIRKS FLUGZEUGBAU GMBH"
"HB-2281";"ASH 25 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
"HB-2283";"ASH 26 E";"ALEXANDER SCHLEICHER GMBH & CO. SEGELFLUGZEUGBAU"
